"Store_name_name","Store_name_Address","Store_name_Hours","Store_name_In_store"
"BAYVIEW VALU-MART","1500 Bayview Ave, Toronto, Ontario M4G 3B4","Open Now24 Hours","In-Store Shopping Only"
"BAYVIEW VALU-MART TORONTO","1500 Bayview Ave, Toronto, Ontario M4G 3B4","Open Now7:00 AM - 11:00 PM","In-Store Shopping Only"
"DAVIDSON'S VALU-MART","985 Woodbine Ave, Toronto, Ontario M4C 4B8","Open Now6:00 AM - 11:00 PM",""
"BEACH VALU-MART TORONTO","2266 Queen St E, Toronto, Ontario M4E 1G4","Open Now8:00 AM - 9:00 PM","In-Store Shopping Only"
"DYSON'S VALU-MART TORONTO","2266 Queen St E, Toronto, Ontario M4E 1G4","Open Now8:00 AM - 9:00 PM","In-Store Shopping Only"
"LAKESHORE VALU-MART ETOBICOKE","2399 Lake Shore Blvd W, Etobicoke, Ontario M8V 1C5","Open Now8:00 AM - 8:00 PM","In-Store Shopping Only"
"BRUNO'S VALU-MART","83 Underhill, Don Mills, Ontario M3A 2P5","Open Now8:00 AM - 9:00 PM",""
"TUFTS' VALU-MART","3259 Bayview Ave, Toronto, Ontario M2K 1G4","Open Now7:00 AM - 9:00 PM",""
"PETER'S VALU-MART MISSISSAUGA","1125 Bloor St E, Mississauga, Ontario L4Y 2N6","Open Now8:00 AM - 9:00 PM","In-Store Shopping Only"
"MOORE'S VALU-MART","123 Guildwood Pkwy, Scarborough, Ontario M1E 4V2","Open Now7:00 AM - 10:00 PM",""
"HENDRIKS VALU-MART NIAGARA ON THE LAKE","130 Queen St, Niagara On The Lake, Ontario L0S 1J0","Open Now8:00 AM - 8:00 PM","In-Store Shopping Only"
"PHIL'S VALU-MART","1551 Hwy 55, Virgil, Ontario L0S 1T0","Open Now8:00 AM - 8:00 PM",""
"MARC'S VALU-MART","134 Main St, Erin, Ontario N0B 1T0","Open Now8:30 AM - 9:00 PM","In-Store Shopping Only"
"JOE & SANDY'S VALU-MART RIDGEWAY","311 Gorham Rd, Ridgeway, Ontario L0S 1N0","Open Now8:00 AM - 7:00 PM","In-Store Shopping Only"
"BELFIORE'S VALU-MART","385 Frederick St, Kitchener, Ontario N2H 2P2","Open Now8:00 AM - 10:00 PM",""
"EASTON'S VALU-MART MINDEN","Water St S & Hwy 35, Minden, Ontario K0M 2K0","Open Now8:00 AM - 6:00 PM","In-Store Shopping Only"
"BOB'S VALU-MART","75 King St S, Waterloo, Ontario N2J 1P2","Open Now8:00 AM - 10:00 PM",""
"REID'S VALU-MART","42 Russell St W, Lindsay, Ontario K9V 2W9","Open Now7:30 AM - 6:00 PM",""
"JOHN'S VALU-MART BRIDGENORTH","871 Ward St, Box 201, Bridgenorth, Ontario K0L 1H0","Open Now8:00 AM - 6:00 PM","In-Store Shopping Only"
"JOHN'S VALU-MART BRIDGENORTH","871 Ward St, Box 201, Bridgenorth, Ontario K0L 1H0","Open Now8:00 AM - 6:00 PM","In-Store Shopping Only"
"STRANG'S VM BOBCAYGEON","101 East St S, RR2, Bobcaygeon, Ontario K0M 1A0","",""
"SAM'S VALU-MART","70 Hope St W PO Box 194, Tavistock, Ontario N0B 2R0","Open Now8:00 AM - 7:00 PM","In-Store Shopping Only"
"TODD'S VALU-MART HASTINGS","52 Bridge St N, Hastings, Ontario K0L 1Y0","Open Now8:00 AM - 7:00 PM","In-Store Shopping Only"
"BILL'S VALU-MART","206497 Hwy 26 East, Meaford, Ontario N4L 1W7","Open Now8:00 AM - 7:00 PM",""
"MILLER'S VALU-MART AYLMER","125 John St, Aylmer, Ontario N5H 2A7","Open Now8:00 AM - 8:00 PM","In-Store Shopping Only"
"POTTER'S VALU-MART MARMORA","42 Matthew St, PO Box 460, Marmora, Ontario K0K 2M0","Open Now8:00 AM - 8:00 PM","In-Store Shopping Only"
